,CODIGO PROVINCIA,PROVINCIA,Denominacion,VOTOS,Sector
28,4,CORDOBA,FRENTE CORDOBA CIUDADANA,189087,FPV / PJ
29,14,MISIONES,FRENTE CAMBIEMOS,182254,CAMBIEMOS
30,9,FORMOSA,FRENTE DE LA VICTORIA,173296,FPV / PJ
31,17,SALTA,CAMBIEMOS PAIS,151616,CAMBIEMOS
32,19,SAN LUIS,AVANZAR Y CAMBIEMOS POR SAN LUIS,150122,CAMBIEMOS
33,16,RIO NEGRO,FRENTE PARA LA VICTORIA,148987,FPV / PJ
34,10,JUJUY,FRENTE JUJEÑO CAMBIEMOS,134186,CAMBIEMOS
35,18,SAN JUAN,CAMBIEMOS POR SAN JUAN,120750,CAMBIEMOS
36,21,SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,111714,
37,10,JUJUY,FRENTE JUSTICIALISTA,111670,FPV / PJ
38,17,SALTA,FRENTE CIUDADANO PARA LA VICTORIA,108761,FPV / PJ
39,9,FORMOSA,FRENTE AMPLIO FORMOSEÑO CAMBIEMOS,108057,CAMBIEMOS
40,19,SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,101996,FPV / PJ
41,2,BUENOS AIRES,IZQUIERDA AL FRENTE POR EL SOCIALISMO,101364,FIT
42,21,SANTA FE,VOTOS NULOS,100882,
43,7,CHUBUT,FRENTE PARA LA VICTORIA,95900,FPV / PJ
44,11,LA PAMPA,FRENTE CAMBIEMOS LA PAMPA,95068,CAMBIEMOS
45,13,MENDOZA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,92084,FIT
46,15,NEUQUEN,CAMBIEMOS,89419,CAMBIEMOS
47,23,TUCUMAN,FUERZA REPUBLICANA,87839,
48,22,SANTIAGO DEL ESTERO,CAMBIEMOS,86276,CAMBIEMOS
49,3,CATAMARCA,FRENTE JUSTICIALISTA PARA LA VICTORIA,85378,FPV / PJ
50,4,CORDOBA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,82584,FIT
51,15,NEUQUEN,MOVIMIENTO POPULAR NEUQUINO,81133,
52,2,BUENOS AIRES,VOTOS NULOS,78362,
53,7,CHUBUT,FRENTE CHUBUT PARA TODOS,78359,
54,13,MENDOZA,INTRANSIGENTE,78261,
55,12,LA RIOJA,FRENTE JUSTICIALISTA RIOJANO,76854,FPV / PJ
56,21,SANTA FE,1 PROYECTO SANTAFESINO,76246,FR UNA / 1 PAIS
57,7,CHUBUT,CAMBIEMOS CHUBUT,74845,CAMBIEMOS
58,11,LA PAMPA,JUSTICIALISTA,74389,FPV / PJ
59,20,SANTA CRUZ,UNION PARA VIVIR MEJOR - CAMBIEMOS,74249,CAMBIEMOS
60,1,CIUDAD AUTONOMA DE BS.AS.,AVANCEMOS HACIA 1PAIS MEJOR,73761,FR UNA / 1 PAIS
61,21,SANTA FE,VOTOS BLANCOS,73189,
62,1,CIUDAD AUTONOMA DE BS.AS.,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,71460,FIT
63,14,MISIONES,AGRARIO Y SOCIAL,70991,
64,16,RIO NEGRO,CAMBIEMOS RIO NEGRO,70414,CAMBIEMOS
65,1,CIUDAD AUTONOMA DE BS.AS.,AUTODETERMINACION Y LIBERTAD,69686,
66,5,CORRIENTES,FRENTE RENOVADOR - 1PAIS,67540,FR UNA / 1 PAIS
67,3,CATAMARCA,FRENTE CIVICO Y SOCIAL - CAMBIEMOS,66552,CAMBIEMOS
68,16,RIO NEGRO,JUNTOS SOMOS RIO NEGRO,66258,
69,15,NEUQUEN,UNIDAD CIUDADANA PARA LA VICTORIA,64164,FPV / PJ
70,15,NEUQUEN,FRENTE NEUQUINO,64143,
71,21,SANTA FE,POPULAR,63828,
72,4,CORDOBA,VOTOS NULOS,58484,
73,22,SANTIAGO DEL ESTERO,FRENTE RENOVADOR 1PAIS,58270,FR UNA / 1 PAIS
74,12,LA RIOJA,CAMBIEMOS - FUERZA CIVICA RIOJANA,57239,CAMBIEMOS
75,21,SANTA FE,CIUDAD FUTURA,53680,
76,21,SANTA FE,FRENTE SOCIAL Y POPULAR,53256,
77,10,JUJUY,FRENTE RENOVADOR 1PAIS,48477,FR UNA / 1 PAIS
78,20,SANTA CRUZ,FRENTE PARA LA VICTORIA,47105,FPV / PJ
79,10,JUJUY,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,47007,FIT
80,16,RIO NEGRO,COALICION CIVICA - ARI,46774,CAMBIEMOS
81,2,BUENOS AIRES,FRENTE SOCIALISTA Y POPULAR,46158,
82,4,CORDOBA,ENCUENTRO VECINAL CORDOBA,46156,
83,17,SALTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,46022,FIT
84,2,BUENOS AIRES,CREO,44276,
85,6,CHACO,UNIDAD CIUDADANA,43387,FPV / PJ
86,4,CORDOBA,IZQUIERDA AL FRENTE POR EL SOCIALISMO,42663,FIT
87,4,CORDOBA,PRIMERO LA GENTE,40883,
88,13,MENDOZA,VOTOS BLANCOS,39975,
89,21,SANTA FE,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,38639,FIT
90,17,SALTA,SALTA SOMOS TODOS,37936,
91,8,ENTRE RIOS,VOTOS NULOS,37242,
92,4,CORDOBA,VOTOS BLANCOS,37090,
93,2,BUENOS AIRES,PATRIA GRANDE,36844,
94,21,SANTA FE,ESPACIO GRANDE,32798,
95,13,MENDOZA,VOTOS NULOS,31084,
96,23,TUCUMAN,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,30662,FIT
97,2,BUENOS AIRES,FEDERAL,29882,
98,8,ENTRE RIOS,NUEVA IZQUIERDA,29833,FIT
99,8,ENTRE RIOS,SOCIALISTA,29559,
100,6,CHACO,DEL OBRERO,28923,FIT
101,2,BUENOS AIRES,FRENTE PATRIOTA BANDERA VECINAL,28448,
102,21,SANTA FE,DEL CAMPO POPULAR,26363,
103,18,SAN JUAN,1 PAIS - SOMOS SAN JUAN,26293,FR UNA / 1 PAIS
104,14,MISIONES,UNION POPULAR,25951,
105,5,CORRIENTES,SOMOS CORRIENTES,25793,
106,15,NEUQUEN,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,24266,FIT
107,4,CORDOBA,GEN,23975,
108,2,BUENOS AIRES,HUMANISTA,23724,
109,14,MISIONES,FRENTE AVANCEMOS,23561,
110,1,CIUDAD AUTONOMA DE BS.AS.,VOTOS BLANCOS,21280,
111,1,CIUDAD AUTONOMA DE BS.AS.,VOTOS NULOS,21236,
112,1,CIUDAD AUTONOMA DE BS.AS.,CONVOCATORIA ABIERTA POR BUENOS AIRES,21117,
113,13,MENDOZA,ENCUENTRO POR MENDOZA,20522,
114,4,CORDOBA,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,20028,
115,14,MISIONES,VOTOS BLANCOS,19903,
116,15,NEUQUEN,VOTOS NULOS,19718,
117,14,MISIONES,NUEVO OCTUBRE,19415,
118,24,TIERRA DEL FUEGO,FRENTE CIUDADANO Y SOCIAL,19027,FPV / PJ
119,22,SANTIAGO DEL ESTERO,IZQUIERDA POR UNA OPCION SOCIALISTA,18406,FIT
120,14,MISIONES,DEL OBRERO,18195,FIT
121,8,ENTRE RIOS,VOTOS BLANCOS,18181,
122,15,NEUQUEN,MOVIMIENTO LIBRES DEL SUR,17865,
123,13,MENDOZA,VERDE,17846,
124,4,CORDOBA,HUMANISTA,17464,
125,24,TIERRA DEL FUEGO,CAMBIEMOS TIERRA DEL FUEGO,17437,CAMBIEMOS
126,7,CHUBUT,VOTOS NULOS,17257,
127,2,BUENOS AIRES,TODOS POR BUENOS AIRES,17000,
128,23,TUCUMAN,VOTOS NULOS,16928,
129,5,CORRIENTES,VOTOS NULOS,16447,
130,17,SALTA,VOTOS NULOS,16331,
131,24,TIERRA DEL FUEGO,FRENTE TIERRA DE UNION,16120,
132,1,CIUDAD AUTONOMA DE BS.AS.,IZQUIERDA AL FRENTE POR EL SOCIALISMO,15883,FIT
133,2,BUENOS AIRES,ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO,15042,
134,17,SALTA,VOTOS BLANCOS,14889,
135,21,SANTA FE,AUTONOMISTA,14581,
136,4,CORDOBA,SOMOS,14503,
137,21,SANTA FE,VAMOS JUNTOS,14296,CAMBIEMOS
138,16,RIO NEGRO,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,14272,FIT
139,6,CHACO,VOTOS NULOS,14010,
140,16,RIO NEGRO,VOTOS NULOS,13411,
141,20,SANTA CRUZ,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTIDO OBRERO + IZQUIERDA POR UNA OPCION SOCIALISTA,13351,FIT
142,21,SANTA FE,UNION CELESTE Y BLANCO,13297,
143,5,CORRIENTES,VOTOS BLANCOS,13198,
144,23,TUCUMAN,FRENTE AMPLIO TUCUMANO,13021,
145,14,MISIONES,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR,12873,
146,24,TIERRA DEL FUEGO,UNIR TDF,12821,
147,19,SAN LUIS,VOTOS BLANCOS,12675,
148,6,CHACO,VOTOS BLANCOS,12293,
149,13,MENDOZA,DEL TRABAJO Y DEL PUEBLO,12218,
150,22,SANTIAGO DEL ESTERO,POPULAR,12032,
151,17,SALTA,FRENTE POPULAR PARA LA LIBERACION,12002,
152,12,LA RIOJA,MOVIMIENTO NORTE GRANDE,11884,
153,6,CHACO,UN NUEVO PAIS (1P),11767,FR UNA / 1 PAIS
154,18,SAN JUAN,ACCION POR UNA DEMOCRACIA NUEVA,11354,
155,20,SANTA CRUZ,"MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR",11311,
156,3,CATAMARCA,VOTOS BLANCOS,11310,
157,12,LA RIOJA,UNA RIOJA,11162,FR UNA / 1 PAIS
158,14,MISIONES,VOTOS NULOS,10734,
159,7,CHUBUT,DEL OBRERO,10645,FIT
160,18,SAN JUAN,MOVIMIENTO DE VIDA Y COMPROMISO,10603,
161,23,TUCUMAN,VOTOS BLANCOS,10268,
162,10,JUJUY,MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESION SOCIAL,10172,
163,10,JUJUY,VOTOS NULOS,10061,
164,17,SALTA,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,9820,FIT
165,18,SAN JUAN,VOTOS NULOS,9349,
166,7,CHUBUT,SOCIALISTA AUTENTICO DEL CHUBUT,9329,
167,10,JUJUY,VOTOS BLANCOS,9280,
168,15,NEUQUEN,1PAIS FRENTE RENOVADOR NEUQUEN +A,9250,FR UNA / 1 PAIS
169,1,CIUDAD AUTONOMA DE BS.AS.,HUMANISTA,9186,
170,21,SANTA FE,FEDERAL,9107,
171,15,NEUQUEN,NUEVA IZQUIERDA,9101,FIT
172,18,SAN JUAN,FRENTE PROGRESISTA POPULAR,9098,
173,18,SAN JUAN,VOTOS BLANCOS,8972,
174,21,SANTA FE,MOVIMIENTO INDEPENDIENTE RENOVADOR,8904,
175,7,CHUBUT,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,8860,FIT
176,23,TUCUMAN,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,8666,FIT
177,11,LA PAMPA,FRENTE PROGRESISTA PAMPEANO,8583,
178,2,BUENOS AIRES,DEL CAMPO POPULAR,8366,
179,13,MENDOZA,PODEMOS CON LA IZQUIERDA,8291,
180,20,SANTA CRUZ,VOTOS NULOS,8233,
